 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.60000000e+00  5.37691705e-01  7.83396501e-05  7.29595913e-07  2.01566562e-05  6.22396803e-06  9.10368741e-05  2.40890822e+10  1.00000000e-06  1.50000000e-07 
 1.00000000e-05  4.12500000e-01  1.60000000e+00  5.84397334e-01  1.26326496e-04  7.29595913e-07  2.01566562e-05  1.15393568e-05  1.38352978e-04  1.58507231e+10  1.00000000e-06  1.50000000e-07 
 1.50000000e-05  4.12500000e-01  1.60000000e+00  6.17107333e-01  1.65705965e-04  7.29595913e-07  2.01566562e-05  1.66880469e-05  1.77084673e-04  1.23838766e+10  1.00000000e-06  1.50000000e-07 
 2.00000000e-05  4.12500000e-01  1.60000000e+00  6.43136059e-01  1.99466932e-04  7.29595913e-07  2.01566562e-05  2.17241280e-05  2.10132153e-04  1.04362645e+10  1.00000000e-06  1.50000000e-07 
 2.50000000e-05  4.12500000e-01  1.60000000e+00  6.65348989e-01  2.29394510e-04  7.29595913e-07  2.01566562e-05  2.67142612e-05  2.39268005e-04  9.16543245e+09  1.00000000e-06  1.50000000e-07 
 3.00000000e-05  4.12500000e-01  1.60000000e+00  6.84978035e-01  2.56325068e-04  7.29595913e-07  2.01566562e-05  3.16665759e-05  2.65347915e-04  8.26460137e+09  1.00000000e-06  1.50000000e-07 
 5.00000000e-06  8.25000000e-01  1.60000000e+00  5.37691705e-01  7.83396501e-05  9.43580773e-05  4.80599399e-04  6.22396803e-06  9.10368742e-05  1.86261700e+08  1.00000000e-06  1.50000000e-07 
 1.00000000e-05  8.25000000e-01  1.60000000e+00  5.84397334e-01  1.26326496e-04  9.43580773e-05  4.80599399e-04  1.15393568e-05  1.38352978e-04  1.22561026e+08  1.00000000e-06  1.50000000e-07 
 1.50000000e-05  8.25000000e-01  1.60000000e+00  6.17107333e-01  1.65705965e-04  9.43580773e-05  4.80599399e-04  1.66880469e-05  1.77084673e-04  9.57546616e+07  1.00000000e-06  1.50000000e-07 
 2.00000000e-05  8.25000000e-01  1.60000000e+00  6.43136059e-01  1.99466932e-04  9.43580773e-05  4.80599399e-04  2.17241280e-05  2.10132153e-04  8.06953276e+07  1.00000000e-06  1.50000000e-07 
